artist,title,category,certification_level,certification_date,year_page,detail_url,scraped_at
Beyoncé,Cowboy Carter,albums,Or,2025-09-03,2025,https://www.ultratop.be/fr/album/826d2/Beyonce-Cowboy-Carter,2025-09-28 00:33:06
Tate McRae,Revolving Door,singles,Or,2025-09-03,2025,https://www.ultratop.be/fr/song/264bec/Tate-McRae-Revolving-Door,2025-09-28 00:33:08
Calvin Harris feat. Clementine Douglas,Blessings,singles,Or,2025-08-19,2025,https://www.ultratop.be/fr/song/26ab00/Calvin-Harris-feat.-Clementine-Douglas-Blessings,2025-09-28 00:33:08
Damiano David,Next Summer,singles,Or,2025-08-19,2025,https://www.ultratop.be/fr/song/2650c3/Damiano-David-Next-Summer,2025-09-28 00:33:08
Bad Bunny,DtMF,singles,Platine,2025-07-10,2025,https://www.ultratop.be/fr/song/2625aa/Bad-Bunny-DtMF,2025-09-28 00:33:08
Bad Bunny,Nuevayol,singles,Or,2025-07-10,2025,https://www.ultratop.be/fr/song/26259c/Bad-Bunny-Nuevayol,2025-09-28 00:33:08
Damiano David,Born With A Broken Heart,singles,Platine,2025-07-10,2025,https://www.ultratop.be/fr/song/25e89b/Damiano-David-Born-With-A-Broken-Heart,2025-09-28 00:33:08
Myles Smith,Nice To Meet You,singles,Or,2025-07-10,2025,https://www.ultratop.be/fr/song/25ee49/Myles-Smith-Nice-To-Meet-You,2025-09-28 00:33:08
Tate McRae,It's Ok I'm Ok,singles,Or,2025-07-10,2025,https://www.ultratop.be/fr/song/25c49a/Tate-McRae-It's-Ok-I'm-Ok,2025-09-28 00:33:08
"Tyler, The Creator feat. Lola Young",Like Him,singles,Or,2025-07-10,2025,"https://www.ultratop.be/fr/song/25edfa/Tyler,-The-Creator-feat.-Lola-Young-Like-Him",2025-09-28 00:33:08
Santa,Recommence-moi,albums,Or,2025-07-04,2025,https://www.ultratop.be/fr/album/82dd6/Santa-Recommence-moi,2025-09-28 00:33:06
Aaron Blommaert,Egotrip,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/25890a/Aaron-Blommaert-Egotrip,2025-09-28 00:33:08
Billie Eilish,Birds Of A Feather,singles,,2025-05-22,2025,https://www.ultratop.be/fr/song/256b6c/Billie-Eilish-Birds-Of-A-Feather,2025-09-28 00:33:08
Billie Eilish,Skinny,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/256b6d/Billie-Eilish-Skinny,2025-09-28 00:33:08
Chrystal,The Days,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/25d3e6/Chrystal-The-Days,2025-09-28 00:33:08
Gracie Abrams,Close To You,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/258018/Gracie-Abrams-Close-To-You,2025-09-28 00:33:08
Gracie Abrams,"I Love You, I'm Sorry",singles,Platine,2025-05-22,2025,"https://www.ultratop.be/fr/song/258b06/Gracie-Abrams-I-Love-You,-I'm-Sorry",2025-09-28 00:33:08
Gracie Abrams,That's So True,singles,,2025-05-22,2025,https://www.ultratop.be/fr/song/25e268/Gracie-Abrams-That's-So-True,2025-09-28 00:33:08
Hugel x Topic x Arash feat. Daecolm,I Adore You,singles,Platine,2025-05-22,2025,https://www.ultratop.be/fr/song/25a1ce/Hugel-x-Topic-x-Arash-feat.-Daecolm-I-Adore-You,2025-09-28 00:33:08
Kavinsky,Nightcall,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/ac35d/Kavinsky-Nightcall,2025-09-28 00:33:08
Kendji Girac,Si seulement...,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/25cab2/Kendji-Girac-Si-seulement...,2025-09-28 00:33:08
Kendrick Lamar,Not Like Us,singles,Platine,2025-05-22,2025,https://www.ultratop.be/fr/song/256234/Kendrick-Lamar-Not-Like-Us,2025-09-28 00:33:08
Kendrick Lamar with SZA,Luther,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/26027f/Kendrick-Lamar-with-SZA-Luther,2025-09-28 00:33:08
L2B,Pélican,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/2650a4/L2B-Pelican,2025-09-28 00:33:08
La Mano 1.9,Sexy Woman,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/265e20/La-Mano-1.9-Sexy-Woman,2025-09-28 00:33:08
La Mano 1.9 x Niska,Canon,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/25a843/La-Mano-1.9-x-Niska-Canon,2025-09-28 00:33:08
Lady Gaga,Abracadabra,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/263944/Lady-Gaga-Abracadabra,2025-09-28 00:33:08
Lady Gaga & Bruno Mars,Die With A Smile,singles,,2025-05-22,2025,https://www.ultratop.be/fr/song/25af91/Lady-Gaga-&-Bruno-Mars-Die-With-A-Smile,2025-09-28 00:33:08
Leblanco,U23 - Freestyle,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/25cf91/Leblanco-U23-Freestyle,2025-09-28 00:33:08
Lola Young,Messy,singles,Platine,2025-05-22,2025,https://www.ultratop.be/fr/song/25829f/Lola-Young-Messy,2025-09-28 00:33:08
Lost Frequencies & Tom Odell,Black Friday (Pretty Like The Sun),singles,,2025-05-22,2025,https://www.ultratop.be/fr/song/25a1bf/Lost-Frequencies-&-Tom-Odell-Black-Friday-(Pretty-Like-The-Sun),2025-09-28 00:33:08
Maes,Interpol,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/25b5a8/Maes-Interpol,2025-09-28 00:33:08
Maes,Magie,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/25a854/Maes-Magie,2025-09-28 00:33:08
Maksim [BE],Als ik voor jou kon kiezen,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/25d656/Maksim-[BE]-Als-ik-voor-jou-kon-kiezen,2025-09-28 00:33:08
"Moblack, Salif Këita feat. Cesária Evora, Benja & Franc Fala",Yamore,singles,Platine,2025-05-22,2025,"https://www.ultratop.be/fr/song/25a539/Moblack,-Salif-Keita-feat.-Cesaria-Evora,-Benja-&-Franc-Fala-Yamore",2025-09-28 00:33:08
Ninho & Niska,Collabo,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/25eda1/Ninho-&-Niska-Collabo,2025-09-28 00:33:08
Noano feat. Ronnie Flex,Damage,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/25eb48/Noano-feat.-Ronnie-Flex-Damage,2025-09-28 00:33:08
Post Malone / Morgan Wallen,I Had Some Help,singles,Platine,2025-05-22,2025,https://www.ultratop.be/fr/song/25638b/Post-Malone-_-Morgan-Wallen-I-Had-Some-Help,2025-09-28 00:33:08
S10 & Froukje,Ik haat hem voor jou,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/25bb7a/S10-&-Froukje-Ik-haat-hem-voor-jou,2025-09-28 00:33:08
SDM,Cartier Santos,singles,,2025-05-22,2025,https://www.ultratop.be/fr/song/25d2c1/SDM-Cartier-Santos,2025-09-28 00:33:08
SDM feat. Hamza,Toka,singles,Platine,2025-05-22,2025,https://www.ultratop.be/fr/song/25cab4/SDM-feat.-Hamza-Toka,2025-09-28 00:33:08
SDM feat. Werenoi,Metallica,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/25d2bf/SDM-feat.-Werenoi-Metallica,2025-09-28 00:33:08
Sabrina Carpenter,Please Please Please,singles,Platine,2025-05-22,2025,https://www.ultratop.be/fr/song/25803b/Sabrina-Carpenter-Please-Please-Please,2025-09-28 00:33:08
Sabrina Carpenter,Taste,singles,Platine,2025-05-22,2025,https://www.ultratop.be/fr/song/25b62a/Sabrina-Carpenter-Taste,2025-09-28 00:33:08
Soolking feat. Gims,Carré OK,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/26236f/Soolking-feat.-Gims-Carre-OK,2025-09-28 00:33:08
Tate McRae,Sports Car,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/262f4d/Tate-McRae-Sports-Car,2025-09-28 00:33:08
The Weeknd,Dancing In The Flames,singles,Or,2025-05-22,2025,https://www.ultratop.be/fr/song/25c4a9/The-Weeknd-Dancing-In-The-Flames,2025-09-28 00:33:08
Chase & Status,"2 Ruff, Vol. 1",albums,Or,2025-04-07,2025,"https://www.ultratop.be/fr/album/80902/Chase-&-Status-2-Ruff,-Vol.-1",2025-09-28 00:33:06
Lady Gaga,Mayhem,albums,Platine,2025-04-07,2025,https://www.ultratop.be/fr/album/85ad3/Lady-Gaga-Mayhem,2025-09-28 00:33:06
Damiano David,Born With A Broken Heart,singles,Or,2025-04-04,2025,https://www.ultratop.be/fr/song/25e89b/Damiano-David-Born-With-A-Broken-Heart,2025-09-28 00:33:08
Future & Metro Boomin / Kendrick Lamar,Like That,singles,Or,2025-04-04,2025,https://www.ultratop.be/fr/song/253693/Future-&-Metro-Boomin-_-Kendrick-Lamar-Like-That,2025-09-28 00:33:08
Future & Metro Boomin / Travis Scott & Playboi Carti,Type Shit,singles,Or,2025-04-04,2025,https://www.ultratop.be/fr/song/253694/Future-&-Metro-Boomin-_-Travis-Scott-&-Playboi-Carti-Type-Shit,2025-09-28 00:33:08
Marshmello / Kane Brown,Miles On It,singles,Or,2025-04-04,2025,https://www.ultratop.be/fr/song/256c59/Marshmello-_-Kane-Brown-Miles-On-It,2025-09-28 00:33:08
Maksim [BE],Dagdromer,albums,Or,2025-03-18,2025,https://www.ultratop.be/fr/album/84b94/Maksim-[BE]-Dagdromer,2025-09-28 00:33:06
Chappell Roan,The Rise And Fall Of A Midwest Princess,albums,Or,2025-03-17,2025,https://www.ultratop.be/fr/album/7fef1/Chappell-Roan-The-Rise-And-Fall-Of-A-Midwest-Princess,2025-09-28 00:33:06
Kendrick Lamar,GNX,albums,Or,2025-03-17,2025,https://www.ultratop.be/fr/album/85032/Kendrick-Lamar-GNX,2025-09-28 00:33:06
Lady Gaga,Mayhem,albums,Or,2025-03-17,2025,https://www.ultratop.be/fr/album/85ad3/Lady-Gaga-Mayhem,2025-09-28 00:33:06
The Weeknd,Hurry Up Tomorrow,albums,Or,2025-03-17,2025,https://www.ultratop.be/fr/album/849ab/The-Weeknd-Hurry-Up-Tomorrow,2025-09-28 00:33:06
Gracie Abrams,The Secret Of Us,albums,Platine,2025-03-03,2025,https://www.ultratop.be/fr/album/82d53/Gracie-Abrams-The-Secret-Of-Us,2025-09-28 00:33:06
Kygo with Zak Abel & Nile Rodgers,For Life,singles,Or,2025-02-18,2025,https://www.ultratop.be/fr/song/254e2c/Kygo-with-Zak-Abel-&-Nile-Rodgers-For-Life,2025-09-28 00:33:08
Myles Smith,Stargazing,singles,,2025-02-18,2025,https://www.ultratop.be/fr/song/256316/Myles-Smith-Stargazing,2025-09-28 00:33:08
Berre,Break 'Em All,singles,Or,2025-02-04,2025,https://www.ultratop.be/fr/song/25853c/Berre-Break-'Em-All,2025-09-28 00:33:08
Billie Eilish,Birds Of A Feather,singles,,2025-02-04,2025,https://www.ultratop.be/fr/song/256b6c/Billie-Eilish-Birds-Of-A-Feather,2025-09-28 00:33:08
Billie Eilish,Chihiro,singles,Platine,2025-02-04,2025,https://www.ultratop.be/fr/song/256b6f/Billie-Eilish-Chihiro,2025-09-28 00:33:08
Billie Eilish,Wildflower,singles,Platine,2025-02-04,2025,https://www.ultratop.be/fr/song/256b70/Billie-Eilish-Wildflower,2025-09-28 00:33:08
Eminem,Houdini,singles,Platine,2025-02-04,2025,https://www.ultratop.be/fr/song/2578ea/Eminem-Houdini,2025-09-28 00:33:08
