artist,title,certification_date,release_date,label,format,award_level,units,category,type,genre
CURREN$Y,"BOTTOM OF THE BOTTLE (FT. AUGUST ALSINA, LIL WAYNE)",2026-06-29,,ATLANTIC RECORDS,SINGLE,Gold,500000,,,
DELTA RAE,BOTTOM OF THE RIVER,2026-06-29,,SIRE RECORDS,SINGLE,Gold,500000,,,
KRANIUM,WE CAN (FT. TORY LANEZ),2026-06-29,,ATLANTIC RECORDS,SINGLE,Gold,500000,,,
PARCELS,TIEDUPRIGHTNOW,2026-06-29,,BECAUSE MUSIC,SINGLE,Gold,500000,,,
CHANCE THE RAPPER,COLORING BOOK,2026-06-26,,CHANCE THE RAPPER,ALBUM,Platinum,1000000,,,
JUSTIN BIEBER,BEAUTY AND A BEAT (FT. NICKI MINAJ),2026-06-26,,DEF JAM,SINGLE,8x Platinum,8000000,,,
JUSTIN BIEBER,SWAG,2026-06-26,,DEF JAM RECORDINGS,ALBUM,Platinum,1000000,,,
JUSTIN BIEBER,YUKON,2026-06-26,,DEF JAM RECORDINGS,SINGLE,2x Platinum,2000000,,,
MARIAH THE SCIENTIST,BURNING BLUE,2026-06-26,,EPIC,SINGLE,2x Platinum,2000000,,,
"MARIAH THE SCIENTIST, KALI UCHIS",IS IT A CRIME,2026-06-26,,BUCKLES LABORATORIES / EPIC,SINGLE,Platinum,1000000,,,
BIG RED MACHINE,RENEGADE (FT. TAYLOR SWIFT),2026-06-25,,JAGJAGUWAR,SINGLE,Gold,500000,,,
DON MIGUELO,Y QUE FUE?,2026-06-25,,EMDP MUSIC,SINGLE,Platinum,1000000,,,
EVANESCENCE,BRING ME TO LIFE,2026-06-25,,WIND-UP RECORDS,SINGLE,11x Platinum,11000000,,,
FINGER ELEVEN,PARALYZER,2026-06-25,,WIND-UP RECORDS,SINGLE,6x Platinum,6000000,,,
MEMO BOY,INSOMNIAC (FEAT. CHAKRA EFENDI),2026-06-24,,PLZ MAKE IT RUINS,SINGLE,Gold,500000,,,
SEBASTIÁN YATRA,TRAICIONERA,2026-06-24,,UNIVERSAL MUSIC LATINO,SINGLE,24x Platinum,24000000,,,
BEN FULLER,IF I GOT JESUS,2026-06-23,,ESSENTIAL WORSHIP,SINGLE,Gold,500000,,,
BEN FULLER,WHO I AM,2026-06-23,,ESSENTIAL RECORDS,SINGLE,Gold,500000,,,
"ELEVATION RHYTHM, GRACIE BINION",GOODBYE YESTERDAY,2026-06-23,,ELEVATION WORSHIP RECORDS,SINGLE,Platinum,1000000,,,
ELEVATION WORSHIP,RESURRECTING (LIVE),2026-06-23,,ELEVATION CHURCH / ESSENTIAL WORSHIP,SINGLE,Platinum,1000000,,,
ELEVATION WORSHIP,TRUST IN GOD (FT. CHRIS BROWN),2026-06-23,,ELEVATION WORSHIP RECORDS,SINGLE,2x Platinum,2000000,,,
JAYDAYOUNGAN,ELIMINATION,2026-06-23,,RUFFWAYY,SINGLE,2x Platinum,2000000,,,
YOUNG M.A,HERSTORY IN THE MAKING,2026-06-23,,M.A MUSIC / 3D,ALBUM,Gold,500000,,,
ZACH TOP,COLD BEER & COUNTRY MUSIC,2026-06-23,,LEO33,ALBUM,Platinum,1000000,,,
ELLA LANGLEY,BE HER,2026-06-22,,SAWGOD  /  COLUMBIA RECORDS,SINGLE,Platinum,1000000,,,
ELLA LANGLEY,CHOOSIN’ TEXAS,2026-06-22,,SAWGOD  /  COLUMBIA RECORDS,SINGLE,4x Platinum,4000000,,,
ELLA LANGLEY,HUNGOVER,2026-06-22,,SAWGOD  /  COLUMBIA RECORDS,ALBUM,Platinum,1000000,,,
ELLA LANGLEY,PAINT THE TOWN BLUE,2026-06-22,,SAWGOD  /  COLUMBIA RECORDS,SINGLE,Gold,500000,,,
ELLA LANGLEY,WEREN'T FOR THE WIND,2026-06-22,,SAWGOD  /  COLUMBIA RECORDS,SINGLE,3x Platinum,3000000,,,
ELLA LANGLEY & RILEY GREEN,YOU LOOK LIKE YOU LOVE ME,2026-06-22,,SAWGOD  /  COLUMBIA RECORDS,SINGLE,4x Platinum,4000000,,,
