Artist,Title,Certification_Date,Label,Format_Type,Release_Date,Group_Type,Media_Type,Certification_Type,Genre,Award_Programme,Units,Award_Family
LIL UZI VERT,XO TOUR LLIF3,"October 17, 2017",ATLANTIC RECORDS,SINGLE,"MARCH 24, 2017",,Digital,4x Multi-Platinum,R&B/HIP HOP,,,
LIL UZI VERT,XO TOUR LLIF3,"October 17, 2017",ATLANTIC RECORDS,SINGLE,"MARCH 24, 2017",,Digital,3x Multi-Platinum,R&B/HIP HOP,,,
LIL UZI VERT,XO TOUR LLIF3,"June 29, 2017",ATLANTIC RECORDS,SINGLE,"MARCH 24, 2017",,Digital,2x Multi-Platinum,R&B/HIP HOP,,,
LIL UZI VERT,XO TOUR LLIF3,"May 30, 2017",ATLANTIC RECORDS,SINGLE,"MARCH 24, 2017",,Digital,Platinum,R&B/HIP HOP,,,
LIL UZI VERT,XO TOUR LLIF3,"May 30, 2017",ATLANTIC RECORDS,SINGLE,"MARCH 24, 2017",,Digital,Gold,R&B/HIP HOP,,,
COLDPLAY,ADVENTURE OF A LIFETIME,"October 16, 2017",PARLOPHONE / ATLANTIC RECORDS,SINGLE,"NOVEMBER 6, 2015",GROUP,Digital,2x Multi-Platinum,ROCK,,,
COLDPLAY,ADVENTURE OF A LIFETIME,"July 7, 2016",PARLOPHONE / ATLANTIC RECORDS,SINGLE,"NOVEMBER 6, 2015",GROUP,Digital,Platinum,ROCK,,,
COLDPLAY,ADVENTURE OF A LIFETIME,"July 7, 2016",PARLOPHONE / ATLANTIC RECORDS,SINGLE,"NOVEMBER 6, 2015",GROUP,Digital,Gold,ROCK,,,
YFN LUCCI,EVERYDAY WE LIT,"October 16, 2017",WARNER BROS RECORDS,SINGLE,"MAY 19, 2017",,Digital,Gold,R&B/HIP HOP,,,
IMAGINE DRAGONS,WARRIORS,"October 16, 2017",KIDINACORNER / INTERSCOPE,SINGLE,"SEPTEMBER 18, 2014",GROUP,Digital,Platinum,ALTERNATIVE,,,
IMAGINE DRAGONS,WARRIORS,"October 16, 2017",KIDINACORNER / INTERSCOPE,SINGLE,"SEPTEMBER 18, 2014",GROUP,Digital,Gold,ALTERNATIVE,,,
JEREMIH,ALL ABOUT YOU,"October 16, 2017",DEF JAM RECORDINGS,ALBUM,"SEPTEMBER 28, 2010",SOLO,Standard,Gold,R&B/HIP HOP,,,
SAM HUNT,BODY LIKE A BACK ROAD,"October 16, 2017",MCA RECORDS NASHVILLE,SINGLE,"FEBRUARY 1, 2017",,Digital,4x Multi-Platinum,COUNTRY,,,
SAM HUNT,BODY LIKE A BACK ROAD,"July 27, 2017",MCA RECORDS NASHVILLE,SINGLE,"FEBRUARY 1, 2017",,Digital,3x Multi-Platinum,COUNTRY,,,
SAM HUNT,BODY LIKE A BACK ROAD,"June 6, 2017",MCA RECORDS NASHVILLE,SINGLE,"FEBRUARY 1, 2017",,Digital,2x Multi-Platinum,COUNTRY,,,
SAM HUNT,BODY LIKE A BACK ROAD,"June 6, 2017",MCA RECORDS NASHVILLE,SINGLE,"FEBRUARY 1, 2017",,Digital,Platinum,COUNTRY,,,
SAM HUNT,BODY LIKE A BACK ROAD,"June 6, 2017",MCA RECORDS NASHVILLE,SINGLE,"FEBRUARY 1, 2017",,Digital,Gold,COUNTRY,,,
KANY GARCIA,KANY GARCIA,"October 13, 2017",SONY LATIN,ALBUM,"JULY 30, 2012",SOLO,Latin,Oro,LATIN,LATIN,30000,
KANY GARCIA,CUALQUIER,"October 13, 2017",SONY LATIN,ALBUM,"JULY 10, 2007",SOLO,Standard,Platino,LATIN,LATIN,60000,
KANY GARCIA,CUALQUIER,"October 13, 2017",SONY LATIN,ALBUM,"JULY 10, 2007",SOLO,Standard,Oro,LATIN,LATIN,30000,
LIL UZI VERT,LUV IS RAGE 2,"October 13, 2017",ATLANTIC RECORDS,SINGLE,"AUGUST 25, 2017",,Digital,Gold,R&B/HIP HOP,,,
KATY PERRY,BON APPETIT,"October 13, 2017",CAPITOL RECORDS,SINGLE,"APRIL 28, 2017",SOLO,Digital,Gold,POP,,,
JONAS BLUE,MAMA,"October 13, 2017",CAPITOL RECORDS,SINGLE,"MAY 5, 2017",,Digital,Gold,POP,,,
KANY GARCIA,BOLETA DE ENTRADA,"October 13, 2017",SONY LATIN,ALBUM,"SEPTEMBER 17, 2009",SOLO,Standard,Oro,LATIN,LATIN,30000,
CALVIN HARRIS,FEELS,"October 13, 2017",COLUMBIA,SINGLE,"JUNE 16, 2017",SOLO,Digital,Platinum,POP,,,
CALVIN HARRIS,FEELS,"October 13, 2017",COLUMBIA,SINGLE,"JUNE 16, 2017",SOLO,Digital,Gold,POP,,,
TWENTY ONE PILOTS,WE DON'T BELIEVE WHAT'S ON TV,"October 13, 2017",FUELED BY RAMEN,SINGLE,"MAY 18, 2015",,Digital,Gold,ROCK,,,
MAGGIE LINDEMANN,PRETTY GIRL,"October 13, 2017",300 ENTERTAINMENT,SINGLE,"SEPTEMBER 30, 2016",,Digital,Gold,POP,,,
