Interprete;Titre;Éditeur / Distributeur;Catégorie;Certification;Date de sortie;Date de constat
MILEY CYRUS;ENDLESS SUMMER VACATION;COLUMBIA / SONY MUSIC ENTERTAINMENT;Albums;Platine;03/10/2023;28/08/2025
JUL;MA CHE BEAUTÉ;D'OR ET DE PLATINE / BELIEVE;Singles;Diamant;04/12/2018;28/08/2025
DA UZI;LA VRAIE VIE;REC. 118 / WARNER MUSIC FRANCE;Singles;Diamant;18/01/2018;28/08/2025
SOPRANO FEAT. NINHO;MUSICA;REC. 118 / WARNER MUSIC FRANCE;Singles;Diamant;08/11/2019;28/08/2025
NINHO FEAT. GRIFF;EVERY DAY;REC. 118 / MAL LUNE MUSIC	/ WARNER MUSIC FRANCE;Singles;Diamant;07/03/2020;28/08/2025
LINH;JE PENSE À VOUS;JO&CO / BLACK STAR MUSIC / BELIEVE;Singles;Diamant;01/03/2024;28/08/2025
TEDDY SWIMS;BAD DREAMS;WARNER RECORDS / WEA / WARNER MUSIC FRANCE;Singles;Diamant;13/09/2024;28/08/2025
NONO LA GRINTA;PARIS;MPR RECORDS / WARNER MUSIC FRANCE;Singles;Diamant;02/04/2025;28/08/2025
WERENOI, GIMS;PIANO;PLAY TWO / BELIEVE;Singles;Diamant;11/04/2025;28/08/2025
BEN MAZUÉ;10 ANS DE NOUS;COLUMBIA / SONY MUSIC ENTERTAINMENT;Singles;Platine;30/06/2017;28/08/2025
CAMILA CABELLO;SHAMELESS;SYCO MUSIC / EPIC / SONY MUSIC ENTERTAINMENT;Singles;Platine;05/09/2019;28/08/2025
JUL FEAT. LE RAT LUCIANO;MADAME;D'OR ET DE PLATINE / BELIEVE;Singles;Platine;01/12/2017;28/08/2025
CIGARETTES AFTER SEX;CRY;PARTISAN RECORDS / INTEGRAL PIAS;Singles;Platine;25/10/2019;28/08/2025
PNL;BANG;QLF RECORDS / MUSICAST / BELIEVE;Singles;Platine;05/07/2019;28/08/2025
