artist,title,publisher,category,certification,release_date,certification_date
MILEY CYRUS,ENDLESS SUMMER VACATION,COLUMBIA / SONY MUSIC ENTERTAINMENT,Albums,Platine,2023-10-03,2025-08-28
JUL,MA CHE BEAUTÉ,D'OR ET DE PLATINE / BELIEVE,Singles,Diamant,2018-12-04,2025-08-28
DA UZI,LA VRAIE VIE,REC. 118 / WARNER MUSIC FRANCE,Singles,Diamant,2018-01-18,2025-08-28
SOPRANO FEAT. NINHO,MUSICA,REC. 118 / WARNER MUSIC FRANCE,Singles,Diamant,2019-11-08,2025-08-28
NINHO FEAT. GRIFF,EVERY DAY,REC. 118 / MAL LUNE MUSIC / WARNER MUSIC FRANCE,Singles,Diamant,2020-03-07,2025-08-28
LINH,JE PENSE À VOUS,JO&CO / BLACK STAR MUSIC / BELIEVE,Singles,Diamant,2024-03-01,2025-08-28
TEDDY SWIMS,BAD DREAMS,WARNER RECORDS / WEA / WARNER MUSIC FRANCE,Singles,Diamant,2024-09-13,2025-08-28
NONO LA GRINTA,PARIS,MPR RECORDS / WARNER MUSIC FRANCE,Singles,Diamant,2025-04-02,2025-08-28
"WERENOI, GIMS",PIANO,PLAY TWO / BELIEVE,Singles,Diamant,2025-04-11,2025-08-28
BEN MAZUÉ,10 ANS DE NOUS,COLUMBIA / SONY MUSIC ENTERTAINMENT,Singles,Platine,2017-06-30,2025-08-28
CAMILA CABELLO,SHAMELESS,SYCO MUSIC / EPIC / SONY MUSIC ENTERTAINMENT,Singles,Platine,2019-09-05,2025-08-28
JUL FEAT. LE RAT LUCIANO,MADAME,D'OR ET DE PLATINE / BELIEVE,Singles,Platine,2017-12-01,2025-08-28
CIGARETTES AFTER SEX,CRY,PARTISAN RECORDS / INTEGRAL PIAS,Singles,Platine,2019-10-25,2025-08-28
PNL,BANG,QLF RECORDS / MUSICAST / BELIEVE,Singles,Platine,2019-07-05,2025-08-28
ORELSAN,LA LUMIÈRE,3EME BUREAU / WAGRAM,Singles,Platine,2017-10-20,2025-08-28
VALD FEAT. ORELSAN,PEON,ECHELON RECORDS / SONY MUSIC ENTERTAINMENT,Singles,Platine,2022-02-04,2025-08-28
JUL FEAT. PLK,POSTICHÉ,D'OR ET DE PLATINE / BELIEVE,Singles,Platine,2023-12-08,2025-08-28
LA MANO 1.9 & NISKA,CANON,R.A.T MUSIC / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE,Singles,Platine,2024-06-12,2025-08-28
MYLES SMITH,NICE TO MEET YOU,RCA RECORDS LABEL / SONY MUSIC ENTERTAINMENT,Singles,Platine,2024-11-08,2025-08-28
ED SHEERAN,AZIZAM,ATLANTIC RECORDS / WEA / WARNER MUSIC FRANCE,Singles,Platine,2025-04-04,2025-08-28
TRIANGLE DES BERMUDES,CHARGER,YPDP / PK INTERACTIVE,Singles,Platine,2025-02-14,2025-08-28
"BOOBA, SNIGHT B & SDM",DOLCE CAMARA (SNIGHT B REMIX),TALLAC RECORDS / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE,Singles,Or,2024-04-25,2025-08-28
CABALLERO & JEANJASS,SUR MON NOM,VIRGIN MUSIC FRANCE / UNIVERSAL MUSIC FRANCE,Singles,Or,2017-02-26,2025-08-28
HAMZA,PARADISE,REC. 118 / JUST WOKE UP / WARNER MUSIC FRANCE,Singles,Or,2019-01-25,2025-08-28
ALI GATIE,WHAT IF I TOLD YOU THAT I LOVE YOU,WARNER RECORDS / WEA / WARNER MUSIC FRANCE,Singles,Or,2020-01-24,2025-08-28
DA UZI,J'AI PRIS LA ROUTE,REC. 118 / WARNER MUSIC FRANCE,Singles,Or,2020-04-11,2025-08-28
JUL,JE N'AI PAS QUE DES POTES,D'OR ET DE PLATINE / BELIEVE,Singles,Or,2021-06-18,2025-08-28
LETO,TOUT RECOMMENCER,REC. 118 / WARNER MUSIC FRANCE,Singles,Or,2021-09-02,2025-08-28
GUY2BEZBAR,BERETTA,BLUE MAGIC CORP / SONY MUSIC ENTERTAINMENT,Singles,Or,2022-03-24,2025-08-28
HOUDI,SENSATION,LA REVERIE / ADA FRANCE / WARNER MUSIC FRANCE,Singles,Or,2023-07-07,2025-08-28
BILLIE EILISH,THE GREATEST,UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE,Singles,Or,2024-05-17,2025-08-28
LYNDA & IMEN ES,1 MINUTE,XX PRODUCTION / INDIFFERENCE / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE,Singles,Or,2024-11-21,2025-08-28
L2B FEAT. NISKA,TENDANCE,O-VNEE MUSIC - 172 RECORD / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE,Singles,Or,2025-02-20,2025-08-28
DJADJA & DINAZ,TU SAIS,CARRÉ MUSIC / BELIEVE,Singles,Or,2025-06-18,2025-08-28
KPOP DEMON HUNTERS CAST,GOLDEN,UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE,Singles,Or,2025-06-20,2025-08-28
NISKA,ADRIANO,CHARO INC / AWAL,Singles,Or,2025-07-11,2025-08-28
GIMS & LA MANO 1.9,PARISIENNE,PLAY TWO / BELIEVE,Singles,Or,2025-08-01,2025-08-28
ARIANA GRANDE,"YES, AND?",UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE,Singles,Platine,2024-01-12,2025-08-25
FRENCH 79 & KID FRANCESCOLI,LOVIN' FEELING,ALTER K / PSCHENT ALTER K,Singles,Or,2016-04-22,2025-08-21
JUL & MORAD,VATOS LOCOS,D'OR ET DE PLATINE / BELIEVE,Singles,Or,2020-06-18,2025-08-21
FEDER FEAT. BRYCE VINE & DAN CAPLEN,CONTROL,ELEKTRA FRANCE / WARNER MUSIC FRANCE,Singles,Or,2018-04-12,2025-08-21
HARRY STYLES,MATILDA,COLUMBIA / SONY MUSIC ENTERTAINMENT,Singles,Or,2022-05-20,2025-08-21
RSKO,REMORDS,ELEKTRA FRANCE / WARNER MUSIC FRANCE,Singles,Or,2022-07-08,2025-08-21
JUL,BAÏLA,D'OR ET DE PLATINE / BELIEVE,Singles,Or,2022-09-20,2025-08-21
NISKA FEAT. ZED,SAL BAYE,MILLENIUM / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE,Singles,Or,2022-11-24,2025-08-21
SABRINA CARPENTER,FEATHER,UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE,Singles,Or,2023-03-17,2025-08-21
"KUNGS, DAVID GUETTA, IZZY BIZU",ALL NIGHT LONG,ISLAND DEF JAM / UNIVERSAL MUSIC FRANCE,Singles,Or,2024-01-19,2025-08-21
SDM,PLUS RIEN,92I / CAPITOL / UNIVERSAL MUSIC FRANCE,Singles,Or,2024-09-26,2025-08-21
NINHO & NISKA,WARIBANA,JEFE PRODUCTIONS / CHARO INC / WARNER MUSIC FRANCE / UNIVERSAL MUSIC FRANCE,Singles,Or,2024-10-25,2025-08-21
DR. YARO,SIMBA,ELEVA / WARNER MUSIC FRANCE,Singles,Or,2025-01-17,2025-08-21
TKS 2G,WHINE,SHEDWAVE RECORDS / ORCHARD,Singles,Or,2025-05-26,2025-08-21
BENGOUS,TIÉ LA FAMILLE !,CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE,Singles,Platine,2025-07-15,2025-08-21
BEN MAZUÉ,NOUS DEUX CONTRE LE RESTE DU MONDE,COLUMBIA / SONY MUSIC ENTERTAINMENT,Singles,Platine,2017-09-15,2025-08-21
VIDEOCLUB,ROI,PETIT LION PRODUCTIONS / SONY MUSIC ENTERTAINMENT,Singles,Platine,2018-12-18,2025-08-21
PNL,CAPUCHE,QLF RECORDS / BELIEVE,Singles,Platine,2019-04-05,2025-08-21
CALVIN HARRIS & SAM SMITH,DESIRE,COLUMBIA / SONY MUSIC ENTERTAINMENT,Singles,Platine,2023-07-28,2025-08-21
KEBLACK & SDM,BOULOT,MOTEMA RECORDS / BELIEVE,Singles,Platine,2024-11-22,2025-08-21
GIMS,DIANA,PLAY TWO / BELIEVE,Singles,Platine,2024-12-13,2025-08-21
1D1R FEAT. VACRA,BALADE,PLAY TWO / BELIEVE,Singles,Platine,2025-03-20,2025-08-21
GIMS,APPELLE TA COPINE,PLAY TWO / BELIEVE,Singles,Platine,2025-05-23,2025-08-21
R2,RUINART,360 OTG / LABEL BLUE SKY / SONY MUSIC ENTERTAINMENT,Singles,Platine,2025-06-12,2025-08-21
KAARIS,BLOW,VIRGIN MUSIC FRANCE / UNIVERSAL MUSIC FRANCE,Singles,Diamant,2016-09-30,2025-08-21
LIL PEEP & XXXTENTACION,FALLING DOWN,COLUMBIA / SONY MUSIC ENTERTAINMENT,Singles,Diamant,2018-08-19,2025-08-21
PNL,DÉCONNECTÉ,QLF RECORDS / MUSICAST / BELIEVE,Singles,Diamant,2019-04-03,2025-08-21
TIËSTO,THE BUSINESS,ATLANTIC RECORDS / WEA / WARNER MUSIC FRANCE,Singles,Diamant,2020-09-16,2025-08-21
